asin,stars,title,text,Price (value),Quality,Aesthetics,Customer service,Functionality,Enjoyable,Ease of use
B07J65G9DD,1,Unable to install!,"Product states ""Compatible with Windows 10/8/8.1/7/Vista/XP/2000, Mac OS 10.5-10.13.""I'm running Windows 7 Ultimate with several USB ports in use.  I followed the instructions (even though they were not clear at times).  I installed the USB, loaded the drivers, restarted the computer and got ""unrecognized device"".  I removed the USB, restarted, then plugged in the USB.  Still got unrecognized device error.  I tried all USB ports, including those being used with no luck.  I opened device manager to check on the unrecognized device and was told by windows that the driver was up to date.If there was a support line (phone, email, FAQ, whatever) I would have contacted them, but I found nothing in the documents provided.I can't comment on the performance because I never got it to work.  I'm going to return it.",n/a,n/a,n/a,-1,-1,n/a,-1
B07J65G9DD,5,Simple to set-up and use,I bought this to back-up my wired internet connection for my desktop computer.  I used the include mini-CD to install the drivers and connected to wi-fi easily.,n/a,n/a,n/a,n/a,1,n/a,1
B07N1WW638,5,Great alternative to the cable company's costly options,"Quick and simple install, reliable signal, and a great price when compared to the ten bucks a month that the cable company wanted to charge for Wifi extenders.My router sits down a hall at the far end of a room over the garage, on the second floor.  By placing this extender in a hall outlet nearest to the top of the stairs, it provided full bars to the entire first floor (previously receiving between 0 and 1 bars from the router).",1,n/a,n/a,n/a,1,n/a,1
B07N1WW638,5,Exactly what we needed.,Just set it up and it was extremely easy to do. I bought this because my 5ghz WiFi doesn’t reach in to my backyard for my phone. I’m a smoker so my wife and I sit outside in the evening and I also grill quite a bit. This thing works like a charm so far. The fastest phone in the world is finally fast again! Very satisfied so far.,n/a,n/a,n/a,n/a,1,n/a,1
B07N1WW638,1,Just buy a Netgear device.,"Total rubish. Would not connect using any of the instructions. I finally installed the app, and aside from seeing how onerous their privacy policy is (at least one other reviewer brought this up as well), noting would proceed past the connecting part of setup. Way more effort than similar devices have needed in the past. I believe the device is defective, but I saw yet another review stating that they could not get this device to connect to Spectrum internet either.",n/a,n/a,n/a,n/a,-1,n/a,-1
B07N1WW638,3,Not sure about this,This is easy to install but the thing i hated was it does not automatically link with the existing WiFi name so you have to give it a new name and have to go into your setting each time to switch to the extender if you are in a part of the house with less connectivity.,n/a,n/a,n/a,n/a,-1,n/a,1
B07N1WW638,5,Very easy to install (use the Tether app!!) and effectively extends our wireless network,"I set mine up about an hour ago and so far it works perfectly! It does a great job of extending our WiFi to cover our patio (which is on the opposite side of our house as our router).  There's a HUGE improvement from before I set up this device.  The setup was very easy too.  I used the Tether app as recommended in the instructions.  The hardest part was having to move the device around a few times to find a spot in the house where the signal was strong enough to use and still provided the best coverage for the areas that I wanted, but that was still really easy.  I'm very happy with the product and am kicking myself for not buying one of these sooner!",n/a,n/a,n/a,n/a,1,n/a,1
B07N1WW638,1,"Not reliable, Poor tech/warranty support,","We live in a track size two story house that is not large.  The dual band router provides good wifi but the signal is a little weak (not a dead zone) in one corner of the second floor.  After reading the reviews I bought this unit to improve the signal in that corner, I liked the WPS method of installation and the promised  24/7 phone support.  I installed it quickly and it worked for 6 weeks. Then one day the iPad and phone said ""no internet"" when attempting to sign into the -EXT wifi networks for both bands. The iPad and phone could sign into the slightly weaker wifi signal from my router in that corner of the second floor. I called the phone support but it is not available (COVID 19? but I thought Asia had recovered).  So I went on Chat, spent 1 hour and 20 minutes, response was  slow, several restarts, location changes but the problem remained.  Then I tried email.  They said I should use the Tether App method of installation etc.  Again several resets and Setups. Sending photos showing the unlit 5G led light, 3 -4 email exchanges.  My perception is that tech support people are overworked, undertrained and basically cut and paste scripts to respond to you.  They don't have time to read your emails completely.  Finally I asked to replace the failed unit under the 24 month warranty.  There was no response to that.  I bought the unit in May and it failed in June.  I finally gave up and returned the unit with 20% restocking charge.  So my conclusion: Unit is OK if it works but warranty/Tech support is poor.",n/a,-1,n/a,-1,-1,n/a,n/a
B07N1WW638,1,Send different product,"I ordered this and it clearly states dual band, both 2.4GHa and 5GHz.  Did not work with 5G.  Contacted tech support and they said the product I got did not work with 5GHz.  It had a different product number than what ordered.  Do not order this.  No telling what you will get.",n/a,-1,n/a,-1,-1,n/a,n/a
B07N1WW638,2,Not easy to set up.,"Sorry, but these gadgets are not easy to set up and use. Buyers should be cautioned such items are for ""Techies"" if they even can use them. Have not set mine up. Don't understand the - -lack of instructions.",n/a,n/a,n/a,-1,n/a,n/a,-1
B07N1WW638,2,worked well for a week ... and then 5G disappeared,"I bought two of these for my house.  I am an inveterate listener to podcasts and to courses like the Great Courses. I first upgraded to 5G with verizon. No problem. Then i need a wifi booster. I got two of these. They worked well week 1. Then they started to drop. Now, i'll be damned if i can get them to work. And if you can understand the instructions, i hand it to you.",n/a,-1,n/a,n/a,-1,-1,-1
B07N1WW638,5,Happy Camper,"Set up was very easy via the app. I watched the video on this page before settling up the extender. It works very well, the signal strength is very good. I needed this for a room farthest from the router, the wifi signal always drops so my cellphone would sometimes have to use cellular data. I do not have an unlimited data plan on my cellphone.  This product works as advertised, looks sleek & not bulky. I’m very happy with this purchase.",n/a,n/a,1,n/a,1,1,1
B07QQWKVMJ,5,Cord band!!! 🤘,"Just like posted. All 3 cords came in with a adapter in a carrying bag. All 3 cords work great, fast charging, well made but my favorite part is this nifty little band they have on the cord. If I ever need any more cords I will buy these again.",n/a,n/a,n/a,n/a,1,1,n/a
B07QQWKVMJ,5,Superior product,"The cords work great and charge my phone super fast. Comes in a 3 pack, so I'll have back ups for a long time. Great product and fast shipping",n/a,n/a,n/a,n/a,1,n/a,n/a
B07SBVHDD3,1,The pics in the product posting are a LIE!,So much smaller than the pics would have you to believe. When I unrolled it I laughed out loud. What a con job.Thankfully Amazon has an easy return policy. This pack a waste of time.,n/a,n/a,n/a,n/a,-1,n/a,n/a
B07SC68W5P,5,Quality item,Surprising how much air it moves.  Very happy with this product.,n/a,1,n/a,n/a,1,1,n/a
B07SC68W5P,1,Did not make it a month,My fan failed after one month.  The company resent me a new one very quickly and it is running fine.,n/a,n/a,n/a,1,1,n/a,n/a
B07SC68W5P,2,Broke after 1 week,The propeller stoped working after a week. Noise level and weight were good for the week it worked!,n/a,-1,n/a,n/a,1,n/a,n/a
B07SC68W5P,1,Stopped working on Day 3.,The fan worked well for three days.  Today it won’t work at all.  Waste of money.,-1,-1,n/a,n/a,-1,n/a,n/a
B07SC68W5P,4,Does the job!,I bought this during pregnancy because of the hot flashes I’d get at work. I love how compact it is because my work space is limited. I was hoping it wouldn’t be as loud as it is but it’s too loud where it would disturb my coworkers (shared office). I can’t complain especially for the price.,1,n/a,n/a,n/a,1,n/a,n/a
B07SC68W5P,2,It's noisy,"It's wimpy, doesn't move much air, and it is noisy.  Threw it in the garbage.",n/a,-1,-1,n/a,-1,-1,-1
B07SSXGM1Q,5,"High quality, sturdy build",Great laptop stand.  Goes together easily without tools.  Solid quality.,n/a,1,n/a,n/a,1,n/a,1
B07SSXGM1Q,4,"Good product, but QC is a bit lacking.","Photo attached!Quality Control clearly doesn't check every aspect of these, because one of the arms is bent for some reason , meaning the laptop doesn't sit perfectly straight on it, and it's not facing perfectly straight. The picture doesn't do it justice, but you can see the bend. A silly oversight. It's not the end of the world, but I am bothered by it. So, just know that when you buy the cheaper knock-off of something, you're usually buying the cheaper knock-off of its quality control too.",1,-1,n/a,n/a,1,n/a,n/a
B07SSXGM1Q,5,Nice,Great product,n/a,n/a,n/a,n/a,1,n/a,n/a
B07TDZVYNH,2,The battery is not really rechargeable,"Very cute and very useful for the summer for baby! But I only used twice, than the battery can’t be charged anymore.",n/a,-1,1,n/a,1,1,n/a
B07TDZVYNH,1,Battery is flawed,Less than 2 months later and its completely dead.,n/a,-1,n/a,n/a,-1,n/a,n/a
B07TDZVYNH,5,Excellent,"It’s larger than i expected, but does a great job. I was impressed with the air flow.",n/a,1,n/a,n/a,1,n/a,n/a
B07TDZVYNH,1,Terrible battery life,The battery stopped working after using it a few times 😩,n/a,-1,n/a,n/a,-1,n/a,n/a
B07TDZVYNH,1,Do not buy.,Horrible. Do not buy. Quit working after 2 uses.,n/a,-1,n/a,n/a,n/a,n/a,n/a
B07TDZVYNH,1,Don’t know if it’s defective or what,Loved this fan at first to use on the stroller of my 4 month old. But within the same day even though it’s charged it just cuts off all at once and won’t come back on for a while again.,n/a,-1,n/a,n/a,n/a,n/a,n/a
B07TDZVYNH,2,Regret buying.,Bought this for my son who is a rear facing car seat and to also use when in the stroller on warmer days. I was disappointed in how fast the battery dies. As a busy mother the last thing you’re going to remember and have time to do is remember to go changer the battery every day. Also some of the foam has already come off. And now when I try to charge it  the hanging hole on the fan is placed crookedly so it’s very hard to get the charger in and then you have to make sure you’re holding it in the right place for it to stay charging. Honestly it was a waste of money. Not using it now.,n/a,-1,n/a,n/a,-1,n/a,n/a
B07TDZVYNH,5,This fan works great.,"I placed in my bathroom to use as I get ready in the morning. Size is perfect, easy to move, like how you can adjust direction and height and the three speeds. Output is real, you can feel the cool air.Highly dependable, quality and low noise. Highly recommend.",n/a,n/a,n/a,n/a,1,1,1
B07TDZVYNH,5,A Must Have,Great product,n/a,n/a,n/a,n/a,1,1,n/a
B07TDZVYNH,1,Horrible battery,"This fan is AWFUL. No matter how long the battery is charged, it never reaches 20%. It can only be used on the lowest setting and barely lasts 20 minutes. What a disappointment!",n/a,-1,n/a,n/a,-1,-1,n/a
B07VM866DV,2,Do not buy!,Soooo slow it drives me crazy. I bought 2 and both have the same issue with such a long delay every time you touch something. The battery doesn’t last long at all. Tried to return but past the return date unfortunately :(,n/a,-1,n/a,n/a,-1,-1,n/a
B07VM866DV,3,Battery power life,Battery doesn’t last very long at all. Otherwise it’s a good tablet for my daughter,n/a,n/a,n/a,n/a,1,-1,n/a
B07VM866DV,5,I would recommend this product.,Bought this for my 9 year old. Very easy to set up and use.,n/a,n/a,n/a,n/a,1,n/a,1
B07VM866DV,5,Doesn't get any better,I got this tablet for my daughter this past Christmas. She is in love with taking videos and pics. It has decent storage space and allowes for more. Thanks!,n/a,n/a,n/a,n/a,1,1,n/a
B0819HZQWR,5,Good price for good quality,"The low price is certainly a factor, but the 5 stars come from the quality of the cord. The protection from wear and tear is top notch. Definitely recommend.Update: another brand of cord I had bought died on me. I bought another 3 pack of these to replace it. I normally look around, but no need with this cord. I already know it's best bang for my buck.",1,1,n/a,n/a,1,n/a,n/a
B0819HZQWR,5,Excellent!,This charger works so great! My puppy chewed on and destroyed my old charger that came with my phone. This one arrived quickly and actually works better than the other. Heavy duty cord that's longer and it works great. Excellent product!,n/a,1,n/a,n/a,1,n/a,n/a
B0819HZQWR,1,Learn from my mistake.,"Products are slim where i am at. So this was an urgent purchase. Amazon as always gets you what you need. But for the product it leaves you wanted something else. To make sure it worked i plug it into my charging brick with excitement. But that excitement quickly left me. My phone wasn't being charged. And the chord didn't lock into my phone. I asked a friend to test the chord. It charged their phone but didn't lock in. I then barrowed his chord it charged my phone but the plug was crooked in the phone. Come to find out the locking peice inside the charger broke off into my phone and now won't let any chord lock into my phone. Needless to say, this has been an expensive mistake and highly recommend not buying this product. Buy chords from the original manufacturer, it will save you in the long run.",n/a,-1,n/a,n/a,-1,-1,-1
B0819HZQWR,3,Durable but not fast charging does not last long ive noticed,"I bought the 3 pack. at first, all 3 of them did fast charging. now only 1 does. the other 2 are super slow, i mean 9+ hours and it gives me a warning on my phone. i am using the same wall piece that i received from Samsung with my phone. its only a few months old and i have no issues with my samsung wires. so i know its these wires and not my actual wall piece. still not a bad deal when they work though.",n/a,-1,n/a,n/a,1,n/a,n/a
B0831BF1FH,5,Best Bang for your BUCK!!,I really like it firs in my case! Why waste $150 on a pen! NO NEED I LOVE IT!,1,n/a,n/a,n/a,1,n/a,n/a
B0831BF1FH,5,quality stylus,"However, with the Apple Pencil it has really returned me to scribble and draw. Its accuracy is out of series. If I didn't know I was drawing on an iPad Pro, then I would feel that I was drawing on paper. I have heard of some types of screen protectors to make the screen look like a paper drawing, but I have not yet come this far. Just drawing on the bare screen has been enough for me, and it's wonderful. For those interested, I am using it with an application called Procreate.",n/a,n/a,n/a,n/a,1,1,n/a
B0831BF1FH,4,Sleek,Stylus Pen is accurate!,n/a,n/a,n/a,n/a,1,n/a,n/a
B0831BF1FH,5,Just as good as Apple Pencil for a fraction of the price!,"I bought this pen without researching much because my Apple Pen broke suddenly. It was the best impulse buy I have ever made! It works JUST a good as an Apple Pencil. My girlfriend has another pen off Amazon that was like 20$ more than this one and they are both the same quality. I really love this pen. It’s so comfortable to hold, the writing is very smooth, and the charge lasts for so long. 10/10.",1,1,1,n/a,1,1,n/a
B085LB5Y8M,5,"Quick, easy bluetooth solution","After finding that a new computer didn't have bluetooth, bought this unit. Installation was a snap, and solved my son's Bluetooth game controller issue.",n/a,n/a,n/a,n/a,1,n/a,1
B085LB5Y8M,3,Small delay in audio going to bluetooth speaker,"this device works but it does, in my case, have a small .5 to 1 second delay. have not had any other problems other than the fact that i have no disk drive so i had to find the drivers on the website which was harder than it had to be. please tell me if i am doing something wrong, it is a win10 x64 machine.",n/a,-1,n/a,n/a,1,n/a,n/a
B085LB5Y8M,1,What even is this sound quality?,"I would not recommend this product to anyone. The sound quality this product has is out of this world bad. Not only is the incoming sound bad, the input sound is terrible as well, my friends describing me as sound like im speaking through a trash bag that is being crumbled. I would recommend buying a different product, one with better sound quality if possible. Will be returning if possible ASAP.",n/a,-1,n/a,n/a,-1,n/a,n/a
B0867Z7SQG,1,Quit working after a month.,Quit working after a month.,n/a,-1,n/a,n/a,n/a,n/a,n/a
B0867Z7SQG,2,iPhone charger,One of them stop working after a few uses.,n/a,-1,n/a,n/a,-1,n/a,n/a
